UKPRN,PROVIDER_NAME,UPDATED
10007166,The University of Wolverhampton,08/01/2019
10007760,Birkbeck College,08/01/2019
10007798,The University of Manchester,08/01/2019
10007801,University of Plymouth,08/01/2019
10014001,University of Suffolk,08/01/2019
10046802,Academy of Music and Sound Exeter,08/01/2019
10081783,Echo Factory,08/01/2019
10022944,Stratford College London Limited,08/01/2019
10001726,Coventry University,15/01/2019
10003614,The University of Winchester,15/01/2019
10003645,King's College London,15/01/2019
10003678,Kingston University,15/01/2019
10007148,The University of Huddersfield,15/01/2019
10004116,East Coast College,22/01/2019
10007149,The University of Hull,22/01/2019
10007162,"University of the Arts, London",22/01/2019
10007816,The Royal Central School of Speech and Drama,22/01/2019
10007855,Swansea University,22/01/2019
10007858,University of Wales Trinity Saint David,22/01/2019
10000536,Barnsley College,29/01/2019
10001143,Canterbury Christ Church University,29/01/2019
10001778,Croydon College,29/01/2019
10003200,Hull College,29/01/2019
10003558,Kendal College,29/01/2019
10004552,Nelson and Colne College,29/01/2019
10005414,Redcar and Cleveland College,29/01/2019
10006341,Stockton Riverside College,29/01/2019
10007160,The University of Surrey,29/01/2019
10007161,Teesside University,29/01/2019
10007776,Roehampton University,29/01/2019
10007792,The University of Exeter,29/01/2019
10000093,Accrington and Rossendale College,29/01/2019
10003614,The University of Winchester,05/02/2019
10003863,Leeds Trinity University,05/02/2019
10004078,London South Bank University,05/02/2019
10004116,East Coast College,05/02/2019
10007431,West Suffolk College,05/02/2019
10007811,Bishop Grosseteste University,05/02/2019
10009614,Grŵp NPTC Group,05/02/2019
10014001,University of Suffolk,05/02/2019
10000291,Anglia Ruskin University,12/02/2019
10000886,The University of Brighton,12/02/2019
10003614,The University of Winchester,12/02/2019
10003863,Leeds Trinity University,12/02/2019
10004048,London Metropolitan University,12/02/2019
10004351,Middlesex University,12/02/2019
10007160,The University of Surrey,12/02/2019
10007760,Birkbeck College,12/02/2019
10007796,The University of Leicester,12/02/2019
10007850,The University of Bath,12/02/2019
